time	I(R1)	I(R12)
4.452833297811553e-03	-2.995447e-05	1.502201e-03
4.518727428421200e-03	1.095194e-05	1.063917e-03
4.585875262908668e-03	5.058294e-05	6.115423e-04
4.653782855840707e-03	8.151847e-05	2.291315e-04
4.725622057166532e-03	9.815753e-05	-1.781877e-05
4.755879347133733e-03	9.930938e-05	-6.106928e-05
4.774572609757276e-03	9.821960e-05	-6.689427e-05
4.804950769105222e-03	9.355620e-05	-4.294917e-05
4.853795455542629e-03	7.900580e-05	7.688375e-05
4.929486392223859e-03	4.247523e-05	4.331655e-04
5.003171259966790e-03	-2.368936e-06	9.129095e-04
5.064484231651209e-03	-3.981161e-05	1.334466e-03
5.126500886085203e-03	-7.180565e-05	1.714590e-03
5.194994201937692e-03	-9.457831e-05	2.015246e-03
5.243871421596601e-03	-1.004677e-04	2.123657e-03
5.262721169416128e-03	-1.002434e-04	2.138569e-03
5.285705607828967e-03	-9.808191e-05	2.135680e-03
5.308140413774753e-03	-9.401389e-05	2.110922e-03
5.323555626175805e-03	-9.013811e-05	2.081553e-03
5.335666881914760e-03	-8.650221e-05	2.051673e-03
5.350011293608611e-03	-8.155455e-05	2.008697e-03
5.363694703734583e-03	-7.622208e-05	1.960552e-03
5.377373543183593e-03	-7.033315e-05	1.905542e-03
5.397827453296076e-03	-6.058185e-05	1.811738e-03
5.438735273521042e-03	-3.829003e-05	1.588174e-03
5.505333488603118e-03	2.568110e-06	1.156222e-03
5.572599800922676e-03	4.325438e-05	6.975116e-04
5.637123714069551e-03	7.511690e-05	3.116078e-04
5.717248118044011e-03	9.720484e-05	1.641229e-06
5.752681795977884e-03	9.935762e-05	-5.863991e-05
5.769366738349485e-03	9.866123e-05	-6.713557e-05
5.796505210987982e-03	9.520582e-05	-5.368491e-05
5.840311259980807e-03	8.383817e-05	3.423158e-05
5.909058962464316e-03	5.367072e-05	3.198120e-04
5.992558767318633e-03	4.299502e-06	8.383376e-04
6.056338849526470e-03	-3.505485e-05	1.280384e-03
6.121740693705763e-03	-6.967608e-05	1.688015e-03
6.184260480065576e-03	-9.207059e-05	1.979035e-03
6.232529198779282e-03	-9.992839e-05	2.107599e-03
6.258484394362841e-03	-1.004161e-04	2.136557e-03
6.278812771982657e-03	-9.894605e-05	2.138844e-03
6.301814328852878e-03	-9.535268e-05	2.120065e-03
6.318016692175354e-03	-9.162942e-05	2.093239e-03
6.330578083422558e-03	-8.809177e-05	2.064974e-03
6.343607220256444e-03	-8.384713e-05	2.028845e-03
6.357262291252458e-03	-7.880088e-05	1.984081e-03
6.373838372551805e-03	-7.190622e-05	1.920381e-03
6.389060705817169e-03	-6.489224e-05	1.853609e-03
6.419505372347895e-03	-4.917140e-05	1.698539e-03
6.480394705409349e-03	-1.305647e-05	1.324686e-03
6.545579065894343e-03	2.745362e-05	8.789205e-04
6.612066202282219e-03	6.395260e-05	4.508915e-04
6.687409209087354e-03	9.164227e-05	9.027035e-05
6.740730249368478e-03	9.918345e-05	-4.501497e-05
6.761551313018001e-03	9.912465e-05	-6.463107e-05
6.783802846621946e-03	9.717722e-05	-6.377529e-05
6.819882482171935e-03	8.999452e-05	-1.659833e-05
6.877393588538372e-03	6.919710e-05	1.679467e-04
6.964159673333325e-03	2.195221e-05	6.471697e-04
7.031571337456996e-03	-2.008934e-05	1.111005e-03
7.090054375501424e-03	-5.401968e-05	1.500071e-03
7.148442589291518e-03	-8.077105e-05	1.827646e-03
7.203982247889162e-03	-9.634999e-05	2.042976e-03
7.247494865291895e-03	-1.005336e-04	2.127664e-03
7.264068822856499e-03	-1.001737e-04	2.138894e-03
7.287897017171842e-03	-9.776862e-05	2.134182e-03
7.311164905632266e-03	-9.332146e-05	2.105944e-03
7.324773802403696e-03	-8.979553e-05	2.078869e-03
7.336592897109164e-03	-8.620350e-05	2.049139e-03
7.350818071267276e-03	-8.125637e-05	2.006076e-03
7.362016232579612e-03	-7.690708e-05	1.966810e-03
7.373043542851098e-03	-7.225508e-05	1.923657e-03
7.389964574511598e-03	-6.445661e-05	1.849369e-03
7.423806637832597e-03	-4.679343e-05	1.674655e-03
7.491490764474596e-03	-6.119736e-06	1.250731e-03
7.562856987231415e-03	3.767881e-05	7.625123e-04
7.628299613365475e-03	7.138543e-05	3.586366e-04
7.709285137320573e-03	9.604923e-05	2.209396e-05
7.749588923948596e-03	9.936655e-05	-5.581322e-05
7.764847210362047e-03	9.895847e-05	-6.613116e-05
7.789162462865078e-03	9.642084e-05	-6.048820e-05
7.828521402286586e-03	8.756779e-05	2.866201e-06
7.890880586925638e-03	6.288757e-05	2.287426e-04
7.983283409760247e-03	1.011152e-05	7.736920e-04
8.049354121570687e-03	-3.090361e-05	1.233656e-03
8.107651025863645e-03	-6.301766e-05	1.607459e-03
8.166807111978759e-03	-8.711083e-05	1.910628e-03
8.218884302041497e-03	-9.861113e-05	2.080959e-03
8.253310564269376e-03	-1.005307e-04	2.133012e-03
8.270390503149108e-03	-9.975154e-05	2.140068e-03
8.297031891889163e-03	-9.626553e-05	2.125819e-03
8.322537378852937e-03	-9.042045e-05	2.083868e-03
8.336778148475148e-03	-8.614335e-05	2.048671e-03
8.349336637606748e-03	-8.180243e-05	2.010985e-03
8.362996527082502e-03	-7.650805e-05	1.963143e-03
8.375795514403223e-03	-7.103966e-05	1.912256e-03
8.394908234642914e-03	-6.203799e-05	1.825889e-03
8.433133675122297e-03	-4.152355e-05	1.621240e-03
8.500169821279498e-03	-6.734269e-07	1.191628e-03
8.568006007583295e-03	4.064478e-05	7.278961e-04
8.633130257942642e-03	7.345636e-05	3.326560e-04
8.715122032966276e-03	9.691975e-05	7.047096e-06
8.751861521722819e-03	9.936361e-05	-5.803251e-05
8.768031123648646e-03	9.875745e-05	-6.695333e-05
8.794336192550831e-03	9.558623e-05	-5.602875e-05
8.836834539941442e-03	8.498708e-05	2.450880e-05
8.903727434062050e-03	5.645282e-05	2.920130e-04
8.991149337442545e-03	5.184814e-06	8.281298e-04
9.055894942679247e-03	-3.479295e-05	1.277608e-03
9.122513513750690e-03	-7.002629e-05	1.692231e-03
9.184044846701499e-03	-9.201571e-05	1.978228e-03
9.229482800958193e-03	-9.969743e-05	2.102477e-03
9.257338460859675e-03	-1.004507e-04	2.135846e-03
9.276947718161836e-03	-9.914825e-05	2.139412e-03
9.300216032345342e-03	-9.566731e-05	2.122053e-03
9.318098146773002e-03	-9.160826e-05	2.093127e-03
9.332136855895368e-03	-8.761427e-05	2.060977e-03
